ISIN,종목명,시장구분,자산군,자산종류,위험등급,위험도 점수,위험자산여부,비고,,,,,,,,,,,,,,,,,
219390,KBSTAR 미국S&P원유생산기업,국내,ETF,미국주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
314250,KODEX 미국FANG플러스(H),국내,ETF,미국주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
150460,TIGER 중국소비테마,국내,ETF,중국주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
192090,TIGER 차이나 CSI300,국내,ETF,중국주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
195930,TIGER 유로스탁스50(합성H),국내,ETF,유럽주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
219480,KODEX 미국S&P500선물(H),국내,ETF,미국주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
298770,KODEX 한국대만IT프리미어,국내,ETF,글로벌 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
309230,KINDEX 미국 WideMoat가치주,국내,ETF,미국 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
354350,HANARO 글로벌럭셔리S&P(합성),국내,ETF,미국 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
245710,KINDEX 베트남VN30(합성),국내,ETF,베트남 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
238720,KINDEX 일본Nikkei225(H),국내,ETF,일본 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
283580,KODEX 중국본토CSI300,국내,ETF,중국 주식 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
182480,TIGER 미국 MSCI리츠(합성H),국내,ETF,글로벌 리츠 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
280930,KODEX 미국러셀2000(H),국내,ETF,미국 중형주 ETF,초고위험,5,Y,,,,,,,,,,,,,,,,,,
329750,TIGER 미국달러단기채권액티브,국내,ETF,미국 채권 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
292560,TIGER 일본엔선물,국내,ETF,통화 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
305080,TIGER 미국채10년선물,국내,ETF,해외 채권 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
302190,TIGER 중장기국채,국내,ETF,국내 채권 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
329650,KODEX TRF3070,국내,ETF,혼합자산 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
261240,KODEX 미국달러선물,국내,ETF,통화 ETF,저위험,2,N,,,,,,,,,,,,,,,,,,
현금성 자산,예수금,국내,현금성 자산,"RP, MMW",초저위험,1,N,,,,,,,,,,,,,,,,,,

